,post_url,comment_num,like_num,post_caption,image_url
0,https://www.instagram.com/p/B6wpKW5j32z/,655,315339,"Photo by @mitty | Midnight in Puerto Natales, Chile.

As 2020 arrives, travel around the world with our photographers as they show you their New Years’ Eve celebrations in (near) real time. #nye2020",https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/e35/p1080x1080/81993179_2713894548672168_4725429963311066711_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=100&_nc_ohc=8-nf0vDIGfUAX94Sgtp&tp=19&oh=4e50936be2fc9b3dd345cf1b851495af&oe=5FCB2516
1,https://www.instagram.com/p/B6wXapVjGNz/,475,261980,"Photo by @chien_chi_chang | Midnight in Graz, Austria.

As 2020 arrives, travel around the world with our photographers as they show you their New Years’ Eve celebrations in (near) real time. #nye2020",https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/80675315_114032313233251_1349335849927629189_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=6FxiYFT5e2kAX-vOWa2&_nc_tp=15&oh=1e98a6b622e692fa391fd740bc6384c2&oe=5FCA648D
2,https://www.instagram.com/p/B6wV5EvjykG/,359,219423,"Photo by David Chancellor @chancellordavid | Midnight in Cape Town, South Africa.

As 2020 arrives, travel around the world with our photographers as they show you their New Years’ Eve celebrations in (near) real time. #nye2020",https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/79626792_209292820099645_5374839769425609533_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=101&_nc_ohc=bdZxoA6F17gAX-kD-Z4&_nc_tp=15&oh=c045d8b8a37bdb233a413c7181815711&oe=5FC84C47
3,https://www.instagram.com/p/B6wKyFZj9Jl/,520,207470,"Photo by @camillaferrariphoto | Midnight in Moscow.

As 2020 arrives, travel around the world with our photographers as they show you their New Years’ Eve celebrations in (near) real time. #nye2020",https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/78891378_850947242034055_2914417232371868846_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=107&_nc_ohc=JpwP05I7ungAX8v2q_9&_nc_tp=15&oh=7b3041d76f47c4c2f4c6cb3b70e2eed7&oe=5FC9F513
4,https://www.instagram.com/p/B6v-WKDjyBk/,1387,570082,"Photo by George Steinmetz @geosteinmetz | Midnight in Nur-Sultan, Kazakhstan.

As 2020 arrives, travel around the world with our photographers as they show you their New Years’ Eve celebrations in (near) real time. #nye2020",https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/e35/81148051_519738865294281_6242022902520911808_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=109&_nc_ohc=jemfnlu2ixEAX8BaMfr&tp=18&oh=e186fcf898e7a02f5f4dad72a63fc96b&oe=5FC7FB9E
5,https://www.instagram.com/p/B6vmOfODySo/,360,206353,"Photo by @iantehphotography | Midnight in Negeri Sembilan, Malaysia.

As 2020 arrives, travel around the world with our photographers as they show you their New Years’ Eve celebrations in (near) real time. #nye2020",https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/e35/79999558_183124859407924_2153113124270888419_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=104&_nc_ohc=T4SjJ1nJVlgAX9zBLW7&tp=18&oh=fd42607549b07cd57e2747c604702242&oe=5FC87E85
6,https://www.instagram.com/p/B6vVC0BDEUX/,2798,726364,"Photo by Michaela Skovranova @mishkusk | Midnight in Sydney.

As 2020 arrives, travel around the world with our photographers as they show you their New Years’ Eve celebrations in (near) real time. #nye2020losangeles",https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/e35/s1080x1080/80478420_153934775910140_6134710199925389587_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=108&_nc_ohc=u1m6oolIiFkAX-0S9D5&_nc_tp=15&oh=d53999449ce4a0c4e4fc2b4929e513b5&oe=5FCB5B08
7,https://www.instagram.com/p/B6urUvugmk6/,2900,573530,"Photo by @jimmychin | When I took this photo of @alexhonnold, he had already safely ""free soloed"" through the cruxes of the Free Rider route on Yosemite's El Capitan—the slippery slabs on the Free Blast, the Monster Offwidth, the Boulder Problem, and the Enduro Corner. He was now on the final pitches before the summit, with almost 3,000 feet of air below him. 
But this image almost didn’t happen. On the day of the free solo, I had a photo camera mounted on my video camera, to shoot stills  and film simultaneously. The moment I finished filming and shooting the Enduro Corner, I planned to race to the top to photograph Alex finishing the climb. I started ascending a fixed line, hauling all my camera equipment, in a race to beat him to the summit. 
Alex was climbing fast, and I had to get the summit shot. At one point our paths crossed, and although I normally pride myself on not asking climbers to slow down for me, I did ask Alex if he would slow down so I could get ahead. Alex pulled out his phone, looked at the timer and said, “I’m about to break four hours.” I knew what this meant. Even though Alex and Tommy Caldwell already had the speed record on Free Rider, Alex would want to break four hours—in addition to being the first person to free solo El Cap. I didn’t say a word; I just started ascending the line as fast as I could. I got ahead for a moment and looked down. There was Alex, climbing smoothly but quickly just below me, with all of El Cap underneath him. I had one moment to make a decision to slow down, potentially miss the summit shot, and fire off a few frames before racing to the top. I decided to shoot with the camera dangling from my hip. This was one of the shots. I’ll always be thankful I stopped to get this image. It ended up on the cover of the magazine…and I still managed to get my summit shots.

In the last decade, Nat Geo photographers took 21,613,329 images in the quest to document the world and everything in it. This image was chosen as one of the 15 images that resonated most with us.",https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/79524923_798147800706090_8089152086012702777_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=106&_nc_ohc=FCa6Gk1I_7AAX-0MGMc&oh=0a2869b30140583298867248b3e83b51&oe=5FCA132E
8,https://www.instagram.com/p/B6uM7BJD9ZN/,766,328966,"Photo by @hannahreyesmorales | Last month marked 75 years since the women in this photograph were rounded up, held captive, and collectively sexually assaulted as girls by Japanese soldiers during the Second World War. I made this photo after taking their portraits, and this tree grows not far from the site of their assault and internment, in Pampanga, Philippines. 
It’s planted in land laced with memory—having been witness to atrocities, having been reduced to ashes. Over time, and with careful tending, trees and flowers now grow there.

Now grandmothers, the women who survive worry that they will pass away without having witnessed any form of support and justice. Some who fought for reparations have died. I’ve been told that they feel as if the system is just waiting for them to die, and things will move on. I wonder if this is why they plant. What humans forget, the land will remember. Follow me @hannahreyesmorales for more stories. @worldpressphoto #joopswartmasterclass #Philippines #trauma",https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/80047496_483195149246630_7141079767978340018_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=102&_nc_ohc=06gJK3qW14IAX8FDfTR&oh=e4600ee2906d3430d86b533199d0cdaa&oe=5FC9BCDE
9,https://www.instagram.com/p/B6txkWwgmje/,695,339623,"Photo by @evgenia_arbugaeva | Kristina Khudi, 8, poses for a portrait wearing a curtain and cardboard crown, becoming the “tundra princess” in the Nenets' reindeer herding camp on Russia's Yamal Peninsula. Kristina’s happiest time is during summer, when, together with other kids, she returns to her migrating family from the school in the village. I took this photograph in summer  2016, when the herd was recovering from the previous winter's unusual warm spell and rain, followed by the deep freeze, which encased most of the winter pastures in thick ice, making it hard for the animals to dig through the snow to find food. In this herd and many others, tens of thousands of reindeer starved. The Nenets' traditional way of living is threatened by the changing climate, and by the continuous expansion of the Bovanenkovo gas field on the peninsula, which causes the loss of reindeer pastures and centuries-old migration routes.

In the last decade, Nat Geo photographers took 21,613,329 images in the quest to document the world and everything in it. This image was chosen as one of the 15 images that resonated most with us.",https://scontent-atl3-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/79626790_489963005058257_2679545449722807284_n.jpg?_nc_ht=scontent-atl3-1.cdninstagram.com&_nc_cat=105&_nc_ohc=_O-rej1kePkAX_FCNWz&oh=97263d7bbcfc055e6b259d518d27d4a6&oe=5FCB3A52
